"법정구역","2026년06월_계_총인구수","2026년06월_계_연령구간인구수","2026년06월_계_0~9세","2026년06월_계_10~19세","2026년06월_계_20~29세","2026년06월_계_30~39세","2026년06월_계_40~49세","2026년06월_계_50~59세","2026년06월_계_60~69세","2026년06월_계_70~79세","2026년06월_계_80~89세","2026년06월_계_90~99세","2026년06월_계_100세 이상","2026년06월_남_총인구수","2026년06월_남_연령구간인구수","2026년06월_남_0~9세","2026년06월_남_10~19세","2026년06월_남_20~29세","2026년06월_남_30~39세","2026년06월_남_40~49세","2026년06월_남_50~59세","2026년06월_남_60~69세","2026년06월_남_70~79세","2026년06월_남_80~89세","2026년06월_남_90~99세","2026년06월_남_100세 이상","2026년06월_여_총인구수","2026년06월_여_연령구간인구수","2026년06월_여_0~9세","2026년06월_여_10~19세","2026년06월_여_20~29세","2026년06월_여_30~39세","2026년06월_여_40~49세","2026년06월_여_50~59세","2026년06월_여_60~69세","2026년06월_여_70~79세","2026년06월_여_80~89세","2026년06월_여_90~99세","2026년06월_여_100세 이상"
"부산광역시 중구 부평동1가 (2611012300)","651","651","4","21","28","43","68","105","144","159","68","11","0","311","311","1","11","12","27","35","61","69","64","31","0","0","340","340","3","10","16","16","33","44","75","95","37","11","0"
"부산광역시 중구 부평동2가 (2611012400)","943","943","13","23","65","67","77","153","253","195","91","6","0","446","446","6","12","36","36","50","78","109","83","35","1","0","497","497","7","11","29","31","27","75","144","112","56","5","0"
"부산광역시 중구 부평동3가 (2611012500)","626","626","6","15","75","53","66","106","131","117","49","8","0","308","308","2","7","36","32","43","54","63","54","15","2","0","318","318","4","8","39","21","23","52","68","63","34","6","0"
"부산광역시 중구 부평동4가 (2611012600)","1,752","1,752","28","99","198","170","215","284","359","265","119","15","0","848","848","18","52","110","103","105","147","146","117","47","3","0","904","904","10","47","88","67","110","137","213","148","72","12","0"
"부산광역시 중구 신창동1가 (2611012700)","350","350","15","31","20","18","48","50","85","50","29","4","0","170","170","4","18","13","9","23","26","39","26","10","2","0","180","180","11","13","7","9","25","24","46","24","19","2","0"
"부산광역시 중구 신창동2가 (2611012800)","169","169","2","4","5","11","20","23","50","41","12","1","0","82","82","2","2","4","6","9","15","23","17","4","0","0","87","87","0","2","1","5","11","8","27","24","8","1","0"
"부산광역시 중구 신창동3가 (2611012900)","64","64","0","0","3","7","9","9","17","17","2","0","0","28","28","0","0","2","2","6","3","8","7","0","0","0","36","36","0","0","1","5","3","6","9","10","2","0","0"
"부산광역시 중구 신창동4가 (2611013000)","74","74","4","0","10","7","10","10","16","14","3","0","0","38","38","2","0","6","3","3","6","10","6","2","0","0","36","36","2","0","4","4","7","4","6","8","1","0","0"
"부산광역시 중구 창선동1가 (2611013100)","24","24","0","0","0","4","1","4","6","7","2","0","0","14","14","0","0","0","3","0","4","2","4","1","0","0","10","10","0","0","0","1","1","0","4","3","1","0","0"
"부산광역시 중구 창선동2가 (2611013200)","66","66","0","2","4","4","12","14","8","16","5","1","0","30","30","0","0","1","2","8","7","4","6","2","0","0","36","36","0","2","3","2","4","7","4","10","3","1","0"
