"법정구역","2026년06월_계_총인구수","2026년06월_계_연령구간인구수","2026년06월_계_0~9세","2026년06월_계_10~19세","2026년06월_계_20~29세","2026년06월_계_30~39세","2026년06월_계_40~49세","2026년06월_계_50~59세","2026년06월_계_60~69세","2026년06월_계_70~79세","2026년06월_계_80~89세","2026년06월_계_90~99세","2026년06월_계_100세 이상","2026년06월_남_총인구수","2026년06월_남_연령구간인구수","2026년06월_남_0~9세","2026년06월_남_10~19세","2026년06월_남_20~29세","2026년06월_남_30~39세","2026년06월_남_40~49세","2026년06월_남_50~59세","2026년06월_남_60~69세","2026년06월_남_70~79세","2026년06월_남_80~89세","2026년06월_남_90~99세","2026년06월_남_100세 이상","2026년06월_여_총인구수","2026년06월_여_연령구간인구수","2026년06월_여_0~9세","2026년06월_여_10~19세","2026년06월_여_20~29세","2026년06월_여_30~39세","2026년06월_여_40~49세","2026년06월_여_50~59세","2026년06월_여_60~69세","2026년06월_여_70~79세","2026년06월_여_80~89세","2026년06월_여_90~99세","2026년06월_여_100세 이상"
"부산광역시 부산진구 부전동 (2623010300)","22,111","22,111","767","793","5,400","4,768","2,631","2,676","2,761","1,609","624","80","2","11,041","11,041","402","370","2,247","2,572","1,452","1,494","1,466","760","251","27","0","11,070","11,070","365","423","3,153","2,196","1,179","1,182","1,295","849","373","53","2"
"부산광역시 부산진구 범천동 (2623010400)","33,828","33,828","1,558","1,551","4,440","6,386","4,486","4,505","5,340","3,755","1,571","233","3","15,887","15,887","796","767","1,890","3,133","2,342","2,230","2,460","1,643","575","51","0","17,941","17,941","762","784","2,550","3,253","2,144","2,275","2,880","2,112","996","182","3"
"부산광역시 부산진구 범전동 (2623010500)","4,260","4,260","372","201","644","863","550","673","554","294","94","15","0","1,965","1,965","183","102","245","403","277","307","253","147","41","7","0","2,295","2,295","189","99","399","460","273","366","301","147","53","8","0"
"부산광역시 부산진구 연지동 (2623010600)","25,246","25,246","1,759","2,263","1,947","2,959","3,858","4,095","4,112","2,857","1,211","179","6","12,014","12,014","920","1,149","1,025","1,468","1,876","1,965","1,798","1,270","488","55","0","13,232","13,232","839","1,114","922","1,491","1,982","2,130","2,314","1,587","723","124","6"
"부산광역시 부산진구 초읍동 (2623010700)","21,395","21,395","1,052","1,480","1,573","2,310","2,779","3,470","3,839","3,196","1,476","217","3","10,307","10,307","555","825","837","1,154","1,418","1,748","1,774","1,352","585","58","1","11,088","11,088","497","655","736","1,156","1,361","1,722","2,065","1,844","891","159","2"
"부산광역시 부산진구 부암동 (2623010800)","47,627","47,627","3,249","4,092","4,415","6,960","7,271","7,700","7,461","4,410","1,812","245","12","23,019","23,019","1,681","2,050","2,176","3,447","3,669","3,749","3,489","1,977","719","60","2","24,608","24,608","1,568","2,042","2,239","3,513","3,602","3,951","3,972","2,433","1,093","185","10"
"부산광역시 부산진구 당감동 (2623010900)","41,046","41,046","1,594","2,914","3,708","4,686","5,175","7,075","7,951","5,348","2,265","321","9","19,411","19,411","788","1,473","1,838","2,463","2,608","3,369","3,614","2,362","823","73","0","21,635","21,635","806","1,441","1,870","2,223","2,567","3,706","4,337","2,986","1,442","248","9"
"부산광역시 부산진구 가야동 (2623011000)","33,402","33,402","1,292","2,493","4,086","3,467","4,215","5,254","6,150","4,440","1,809","195","1","16,394","16,394","621","1,229","2,233","1,860","2,180","2,673","2,837","1,995","703","63","0","17,008","17,008","671","1,264","1,853","1,607","2,035","2,581","3,313","2,445","1,106","132","1"
"부산광역시 부산진구 개금동 (2623011100)","52,997","52,997","2,176","3,960","6,606","6,362","6,706","8,541","9,664","6,145","2,459","372","6","25,322","25,322","1,107","1,951","3,183","3,281","3,406","4,090","4,522","2,806","892","84","0","27,675","27,675","1,069","2,009","3,423","3,081","3,300","4,451","5,142","3,339","1,567","288","6"
"부산광역시 동래구  (2626000000)","271,097","271,097","16,643","26,414","24,899","31,745","42,041","43,821","42,302","29,810","11,698","1,695","29","130,313","130,313","8,502","13,703","12,601","15,845","20,653","21,273","19,290","13,174","4,820","450","2","140,784","140,784","8,141","12,711","12,298","15,900","21,388","22,548","23,012","16,636","6,878","1,245","27"
"부산광역시 동래구 명장동 (2626010100)","25,940","25,940","1,103","1,833","2,046","2,731","3,434","4,026","5,307","3,983","1,291","179","7","12,443","12,443","562","928","1,075","1,458","1,760","1,899","2,375","1,796","542","48","0","13,497","13,497","541","905","971","1,273","1,674","2,127","2,932","2,187","749","131","7"
"부산광역시 동래구 안락동 (2626010200)","38,083","38,083","1,693","3,258","3,241","3,930","5,112","6,341","7,203","5,163","1,884","256","2","18,372","18,372","907","1,672","1,728","2,032","2,541","3,057","3,248","2,345","789","53","0","19,711","19,711","786","1,586","1,513","1,898","2,571","3,284","3,955","2,818","1,095","203","2"
"부산광역시 동래구 칠산동 (2626010300)","2,617","2,617","23","103","170","232","246","422","649","484","251","37","0","1,336","1,336","14","58","97","142","151","231","334","205","94","10","0","1,281","1,281","9","45","73","90","95","191","315","279","157","27","0"
"부산광역시 동래구 낙민동 (2626010400)","19,502","19,502","1,326","1,991","1,636","2,429","3,120","2,955","3,113","2,055","766","110","1","9,385","9,385","684","1,083","840","1,179","1,517","1,395","1,401","925","331","29","1","10,117","10,117","642","908","796","1,250","1,603","1,560","1,712","1,130","435","81","0"
"부산광역시 동래구 복천동 (2626010500)","5,136","5,136","162","330","375","430","524","872","1,057","900","412","73","1","2,414","2,414","72","172","202","231","264","432","467","390","166","18","0","2,722","2,722","90","158","173","199","260","440","590","510","246","55","1"
"부산광역시 동래구 수안동 (2626010600)","9,352","9,352","284","578","864","998","1,066","1,635","1,699","1,504","633","87","4","4,472","4,472","139","300","470","550","552","812","752","628","248","21","0","4,880","4,880","145","278","394","448","514","823","947","876","385","66","4"
"부산광역시 동래구 명륜동 (2626010700)","24,963","24,963","2,033","3,615","2,079","2,578","4,788","4,291","2,874","1,813","757","135","0","12,275","12,275","1,097","2,003","1,083","1,172","2,255","2,120","1,380","816","312","37","0","12,688","12,688","936","1,612","996","1,406","2,533","2,171","1,494","997","445","98","0"
"부산광역시 동래구 온천동 (2626010800)","93,249","93,249","6,559","7,659","9,951","13,359","14,407","14,603","13,311","9,066","3,752","571","11","44,417","44,417","3,263","3,877","4,724","6,589","7,165","7,019","6,085","3,973","1,547","174","1","48,832","48,832","3,296","3,782","5,227","6,770","7,242","7,584","7,226","5,093","2,205","397","10"
"부산광역시 동래구 사직동 (2626010900)","52,255","52,255","3,460","7,047","4,537","5,058","9,344","8,676","7,089","4,842","1,952","247","3","25,199","25,199","1,764","3,610","2,382","2,492","4,448","4,308","3,248","2,096","791","60","0","27,056","27,056","1,696","3,437","2,155","2,566","4,896","4,368","3,841","2,746","1,161","187","3"
"부산광역시 남구  (2629000000)","254,413","254,413","12,398","22,419","30,401","28,046","35,053","41,644","40,071","29,610","12,979","1,762","30","123,416","123,416","6,395","11,417","15,908","14,494","17,443","20,577","18,557","12,989","5,183","449","4","130,997","130,997","6,003","11,002","14,493","13,552","17,610","21,067","21,514","16,621","7,796","1,313","26"
"부산광역시 남구 대연동 (2629010600)","96,521","96,521","5,327","9,162","16,280","11,679","13,824","14,141","12,282","9,076","4,178","561","11","46,921","46,921","2,734","4,593","8,414","5,983","6,827","6,957","5,632","3,908","1,714","159","0","49,600","49,600","2,593","4,569","7,866","5,696","6,997","7,184","6,650","5,168","2,464","402","11"
"부산광역시 남구 용호동 (2629010700)","77,864","77,864","3,767","7,663","6,700","7,097","11,004","13,761","13,434","9,845","3,988","594","11","37,161","37,161","1,941","3,863","3,565","3,544","5,282","6,675","6,140","4,425","1,588","135","3","40,703","40,703","1,826","3,800","3,135","3,553","5,722","7,086","7,294","5,420","2,400","459","8"
"부산광역시 남구 용당동 (2629010800)","7,465","7,465","279","636","804","642","878","1,424","1,348","991","398","63","2","3,798","3,798","131","336","490","364","449","703","667","477","165","16","0","3,667","3,667","148","300","314","278","429","721","681","514","233","47","2"
"부산광역시 남구 문현동 (2629010900)","42,186","42,186","1,756","2,974","4,078","5,121","5,499","7,224","7,400","5,316","2,517","297","4","20,538","20,538","918","1,551","2,078","2,699","2,830","3,619","3,550","2,274","931","87","1","21,648","21,648","838","1,423","2,000","2,422","2,669","3,605","3,850","3,042","1,586","210","3"
"부산광역시 남구 우암동 (2629011000)","17,030","17,030","918","1,106","1,456","2,331","2,251","2,716","2,906","2,293","925","128","0","8,308","8,308","498","597","753","1,225","1,170","1,346","1,334","985","381","19","0","8,722","8,722","420","509","703","1,106","1,081","1,370","1,572","1,308","544","109","0"
"부산광역시 남구 감만동 (2629011100)","13,347","13,347","351","878","1,083","1,176","1,597","2,378","2,701","2,089","973","119","2","6,690","6,690","173","477","608","679","885","1,277","1,234","920","404","33","0","6,657","6,657","178","401","475","497","712","1,101","1,467","1,169","569","86","2"
"부산광역시 북구  (2632000000)","260,736","260,736","12,738","20,157","23,870","31,159","33,315","44,563","52,013","30,124","11,180","1,580","37","127,667","127,667","6,581","10,375","12,757","16,453","17,093","20,963","24,870","13,959","4,265","350","1","133,069","133,069","6,157","9,782","11,113","14,706","16,222","23,600","27,143","16,165","6,915","1,230","36"
"부산광역시 북구 금곡동 (2632010100)","33,498","33,498","1,104","2,295","2,738","3,086","3,616","5,934","7,492","4,602","2,238","387","6","16,021","16,021","571","1,158","1,459","1,677","1,858","2,776","3,630","2,080","714","98","0","17,477","17,477","533","1,137","1,279","1,409","1,758","3,158","3,862","2,522","1,524","289","6"
"부산광역시 북구 화명동 (2632010200)","82,544","82,544","5,355","8,604","8,436","10,276","11,415","14,946","14,135","6,579","2,443","345","10","40,115","40,115","2,787","4,413","4,496","5,170","5,445","6,666","6,962","3,093","999","84","0","42,429","42,429","2,568","4,191","3,940","5,106","5,970","8,280","7,173","3,486","1,444","261","10"
"부산광역시 북구 만덕동 (2632010300)","57,715","57,715","3,509","4,490","4,570","7,323","8,117","8,877","11,271","7,129","2,149","273","7","27,791","27,791","1,799","2,343","2,390","3,698","4,136","4,109","5,013","3,365","886","52","0","29,924","29,924","1,710","2,147","2,180","3,625","3,981","4,768","6,258","3,764","1,263","221","7"
"부산광역시 북구 덕천동 (2632010400)","33,613","33,613","1,064","1,565","3,235","4,440","3,852","5,346","6,958","4,935","1,932","279","7","16,569","16,569","534","809","1,711","2,492","2,147","2,701","3,257","2,159","715","43","1","17,044","17,044","530","756","1,524","1,948","1,705","2,645","3,701","2,776","1,217","236","6"
"부산광역시 북구 구포동 (2632010500)","53,366","53,366","1,706","3,203","4,891","6,034","6,315","9,460","12,157","6,879","2,418","296","7","27,171","27,171","890","1,652","2,701","3,416","3,507","4,711","6,008","3,262","951","73","0","26,195","26,195","816","1,551","2,190","2,618","2,808","4,749","6,149","3,617","1,467","223","7"
"부산광역시 해운대구  (2635000000)","370,739","370,739","19,706","34,689","34,510","41,252","54,873","65,167","61,927","39,487","16,523","2,554","51","177,281","177,281","10,070","17,902","17,849","20,740","26,490","30,755","28,851","17,700","6,260","650","14","193,458","193,458","9,636","16,787","16,661","20,512","28,383","34,412","33,076","21,787","10,263","1,904","37"
"부산광역시 해운대구 반송동 (2635010100)","30,691","30,691","560","1,413","2,152","2,169","3,089","5,246","6,991","5,985","2,730","349","7","15,012","15,012","281","763","1,198","1,261","1,792","2,818","3,369","2,541","926","62","1","15,679","15,679","279","650","954","908","1,297","2,428","3,622","3,444","1,804","287","6"
"부산광역시 해운대구 석대동 (2635010200)","241","241","4","2","11","11","15","41","82","50","19","6","0","133","133","2","1","7","6","9","22","46","30","9","1","0","108","108","2","1","4","5","6","19","36","20","10","5","0"
"부산광역시 해운대구 반여동 (2635010300)","66,675","66,675","3,317","5,794","5,934","7,107","9,210","12,118","12,100","7,716","2,920","454","5","32,528","32,528","1,695","3,006","3,222","3,728","4,598","5,836","5,760","3,478","1,094","110","1","34,147","34,147","1,622","2,788","2,712","3,379","4,612","6,282","6,340","4,238","1,826","344","4"
"부산광역시 해운대구 재송동 (2635010400)","57,205","57,205","3,206","6,445","5,367","6,224","9,635","9,689","8,799","5,749","1,829","257","5","27,931","27,931","1,694","3,311","2,822","3,204","4,682","4,710","4,040","2,684","739","44","1","29,274","29,274","1,512","3,134","2,545","3,020","4,953","4,979","4,759","3,065","1,090","213","4"
"부산광역시 해운대구 우동 (2635010500)","81,359","81,359","5,589","8,499","7,162","9,217","13,245","13,948","12,245","7,759","3,174","506","15","38,483","38,483","2,838","4,381","3,596","4,354","6,216","6,418","5,638","3,556","1,331","149","6","42,876","42,876","2,751","4,118","3,566","4,863","7,029","7,530","6,607","4,203","1,843","357","9"
"부산광역시 해운대구 중동 (2635010600)","42,560","42,560","2,669","3,905","4,006","5,223","6,867","7,624","6,609","3,841","1,591","215","10","20,278","20,278","1,311","2,004","2,038","2,506","3,324","3,568","3,085","1,734","646","60","2","22,282","22,282","1,358","1,901","1,968","2,717","3,543","4,056","3,524","2,107","945","155","8"
"부산광역시 해운대구 좌동 (2635010700)","83,038","83,038","4,105","8,151","9,203","10,335","11,676","15,034","13,165","7,006","3,685","670","8","38,620","38,620","2,108","4,157","4,577","5,153","5,267","6,687","6,090","3,053","1,319","206","3","44,418","44,418","1,997","3,994","4,626","5,182","6,409","8,347","7,075","3,953","2,366","464","5"
"부산광역시 해운대구 송정동 (2635010800)","8,970","8,970","256","480","675","966","1,136","1,467","1,936","1,381","575","97","1","4,296","4,296","141","279","389","528","602","696","823","624","196","18","0","4,674","4,674","115","201","286","438","534","771","1,113","757","379","79","1"
"부산광역시 사하구  (2638000000)","282,159","282,159","11,660","22,475","28,190","29,704","38,100","48,144","53,519","35,314","13,199","1,802","52","139,724","139,724","5,985","11,531","15,193","16,057","19,879","23,821","25,483","16,230","5,130","408","7","142,435","142,435","5,675","10,944","12,997","13,647","18,221","24,323","28,036","19,084","8,069","1,394","45"
"부산광역시 사하구 괴정동 (2638010100)","53,371","53,371","2,228","4,261","4,609","5,159","7,345","8,682","9,881","7,720","3,056","418","12","25,586","25,586","1,183","2,128","2,396","2,746","3,729","4,200","4,498","3,365","1,248","92","1","27,785","27,785","1,045","2,133","2,213","2,413","3,616","4,482","5,383","4,355","1,808","326","11"
"부산광역시 사하구 당리동 (2638010200)","23,000","23,000","736","1,956","2,049","2,194","3,051","3,904","4,599","3,176","1,143","190","2","11,121","11,121","361","1,028","1,072","1,154","1,542","1,832","2,096","1,534","462","40","0","11,879","11,879","375","928","977","1,040","1,509","2,072","2,503","1,642","681","150","2"
"부산광역시 사하구 하단동 (2638010300)","45,800","45,800","1,472","3,313","7,944","5,891","5,661","7,120","7,603","4,768","1,790","232","6","23,155","23,155","785","1,684","4,393","3,336","3,015","3,506","3,503","2,126","736","69","2","22,645","22,645","687","1,629","3,551","2,555","2,646","3,614","4,100","2,642","1,054","163","4"
"부산광역시 사하구 신평동 (2638010400)","31,152","31,152","1,475","2,237","2,644","3,639","4,278","5,459","6,311","3,679","1,247","176","7","15,671","15,671","740","1,158","1,390","1,952","2,317","2,795","3,081","1,737","455","44","2","15,481","15,481","735","1,079","1,254","1,687","1,961","2,664","3,230","1,942","792","132","5"
"부산광역시 사하구 장림동 (2638010500)","37,708","37,708","1,925","3,318","3,401","4,434","5,831","6,577","6,642","4,091","1,337","146","6","19,119","19,119","972","1,720","1,840","2,418","3,104","3,391","3,194","1,910","542","28","0","18,589","18,589","953","1,598","1,561","2,016","2,727","3,186","3,448","2,181","795","118","6"
"부산광역시 사하구 다대동 (2638010600)","58,626","58,626","2,316","5,156","5,098","5,078","7,623","11,026","11,862","7,266","2,772","421","8","28,902","28,902","1,169","2,660","2,800","2,714","3,771","5,374","5,878","3,447","993","94","2","29,724","29,724","1,147","2,496","2,298","2,364","3,852","5,652","5,984","3,819","1,779","327","6"
"부산광역시 사하구 구평동 (2638010700)","12,070","12,070","1,041","1,042","962","1,773","2,038","1,901","1,884","1,068","311","50","0","6,139","6,139","542","580","510","876","1,115","943","905","539","119","10","0","5,931","5,931","499","462","452","897","923","958","979","529","192","40","0"
"부산광역시 사하구 감천동 (2638010800)","20,432","20,432","467","1,192","1,483","1,536","2,273","3,475","4,737","3,546","1,543","169","11","10,031","10,031","233","573","792","861","1,286","1,780","2,328","1,572","575","31","0","10,401","10,401","234","619","691","675","987","1,695","2,409","1,974","968","138","11"
"부산광역시 금정구  (2641000000)","205,672","205,672","7,669","15,434","25,459","20,516","24,919","33,098","38,490","26,924","11,375","1,746","42","99,854","99,854","3,841","7,755","13,704","11,073","12,601","15,954","17,984","11,954","4,540","440","8","105,818","105,818","3,828","7,679","11,755","9,443","12,318","17,144","20,506","14,970","6,835","1,306","34"
"부산광역시 금정구 두구동 (2641010100)","1,474","1,474","21","47","89","102","124","241","424","264","132","27","3","784","784","10","26","47","62","73","138","233","132","58","5","0","690","690","11","21","42","40","51","103","191","132","74","22","3"
"부산광역시 금정구 노포동 (2641010200)","665","665","26","65","22","35","44","98","143","160","58","13","1","353","353","12","35","11","19","26","53","78","87","26","6","0","312","312","14","30","11","16","18","45","65","73","32","7","1"
"부산광역시 금정구 청룡동 (2641010300)","8,191","8,191","276","532","699","706","825","1,349","1,754","1,325","622","103","0","3,929","3,929","142","283","370","401","404","631","811","593","263","31","0","4,262","4,262","134","249","329","305","421","718","943","732","359","72","0"
"부산광역시 금정구 남산동 (2641010400)","25,206","25,206","512","1,508","3,297","2,354","2,519","4,387","5,191","3,562","1,634","239","3","12,288","12,288","247","759","1,825","1,341","1,288","2,108","2,407","1,586","662","65","0","12,918","12,918","265","749","1,472","1,013","1,231","2,279","2,784","1,976","972","174","3"
"부산광역시 금정구 선동 (2641010500)","448","448","5","18","24","28","27","72","138","86","44","5","1","229","229","2","10","12","16","18","34","75","46","15","0","1","219","219","3","8","12","12","9","38","63","40","29","5","0"
"부산광역시 금정구 오륜동 (2641010600)","221","221","11","6","6","25","17","29","63","42","17","5","0","121","121","5","1","5","13","10","16","33","26","11","1","0","100","100","6","5","1","12","7","13","30","16","6","4","0"
"부산광역시 금정구 구서동 (2641010700)","48,308","48,308","2,251","4,547","4,710","5,047","6,356","8,350","8,940","5,492","2,216","386","13","22,828","22,828","1,089","2,205","2,477","2,595","3,053","3,778","4,157","2,483","891","96","4","25,480","25,480","1,162","2,342","2,233","2,452","3,303","4,572","4,783","3,009","1,325","290","9"
"부산광역시 금정구 장전동 (2641010800)","44,426","44,426","2,489","4,083","9,585","4,997","6,142","5,835","5,361","3,841","1,806","281","6","22,172","22,172","1,269","2,076","5,398","2,660","3,037","2,855","2,437","1,622","737","80","1","22,254","22,254","1,220","2,007","4,187","2,337","3,105","2,980","2,924","2,219","1,069","201","5"
"부산광역시 금정구 부곡동 (2641010900)","48,360","48,360","1,634","3,440","5,166","4,886","5,935","8,112","9,102","6,886","2,750","440","9","22,792","22,792","837","1,748","2,555","2,601","2,983","3,831","4,141","2,940","1,055","99","2","25,568","25,568","797","1,692","2,611","2,285","2,952","4,281","4,961","3,946","1,695","341","7"
"부산광역시 금정구 서동 (2641011000)","20,939","20,939","316","837","1,403","1,717","2,166","3,460","5,433","3,838","1,580","185","4","10,526","10,526","161","439","755","1,016","1,266","1,865","2,620","1,731","630","43","0","10,413","10,413","155","398","648","701","900","1,595","2,813","2,107","950","142","4"
"부산광역시 금정구 금사동 (2641011100)","4,356","4,356","76","176","266","390","423","668","1,160","837","334","25","1","2,204","2,204","34","90","139","207","247","363","582","412","126","4","0","2,152","2,152","42","86","127","183","176","305","578","425","208","21","1"
"부산광역시 금정구 회동동 (2641011200)","2,217","2,217","37","84","135","183","244","364","570","446","134","20","0","1,202","1,202","23","39","80","117","149","210","308","219","52","5","0","1,015","1,015","14","45","55","66","95","154","262","227","82","15","0"
"부산광역시 금정구 금성동 (2641011300)","861","861","15","91","57","46","97","133","211","145","48","17","1","426","426","10","44","30","25","47","72","102","77","14","5","0","435","435","5","47","27","21","50","61","109","68","34","12","1"
"부산광역시 강서구  (2644000000)","153,555","153,555","16,650","18,645","10,609","24,222","32,063","19,137","17,834","10,393","3,426","566","10","79,376","79,376","8,468","9,565","5,791","12,397","17,144","10,467","8,855","5,212","1,361","114","2","74,179","74,179","8,182","9,080","4,818","11,825","14,919","8,670","8,979","5,181","2,065","452","8"
"부산광역시 강서구 대저1동 (2644010100)","5,332","5,332","84","183","291","441","480","765","1,385","1,160","479","62","2","2,924","2,924","37","85","174","258","306","459","769","618","205","13","0","2,408","2,408","47","98","117","183","174","306","616","542","274","49","2"
"부산광역시 강서구 대저2동 (2644010200)","5,833","5,833","266","353","599","717","649","752","1,220","845","361","69","2","3,264","3,264","138","181","418","428","385","455","678","425","141","15","0","2,569","2,569","128","172","181","289","264","297","542","420","220","54","2"
"부산광역시 강서구 강동동 (2644010300)","20,571","20,571","4,170","1,788","821","4,774","4,121","1,703","1,766","973","382","73","0","10,429","10,429","2,127","907","411","2,209","2,269","941","920","498","130","17","0","10,142","10,142","2,043","881","410","2,565","1,852","762","846","475","252","56","0"
"부산광역시 강서구 명지동 (2644010400)","83,843","83,843","9,854","12,752","6,069","13,164","19,731","10,081","7,221","3,828","976","165","2","41,993","41,993","4,979","6,489","3,080","6,441","10,076","5,240","3,361","1,880","413","33","1","41,850","41,850","4,875","6,263","2,989","6,723","9,655","4,841","3,860","1,948","563","132","1"
"부산광역시 강서구 죽림동 (2644010500)","328","328","2","6","8","18","33","60","99","63","34","5","0","177","177","2","2","2","13","24","37","47","35","14","1","0","151","151","0","4","6","5","9","23","52","28","20","4","0"
"부산광역시 강서구 식만동 (2644010600)","410","410","4","12","24","33","27","61","94","104","45","6","0","225","225","2","7","17","19","19","34","52","55","19","1","0","185","185","2","5","7","14","8","27","42","49","26","5","0"
"부산광역시 강서구 죽동동 (2644010700)","372","372","4","10","12","16","26","50","91","98","56","9","0","190","190","2","5","7","13","13","27","46","52","25","0","0","182","182","2","5","5","3","13","23","45","46","31","9","0"
"부산광역시 강서구 봉림동 (2644010800)","864","864","5","14","21","56","65","120","259","213","92","19","0","479","479","4","7","11","40","44","78","138","116","38","3","0","385","385","1","7","10","16","21","42","121","97","54","16","0"
"부산광역시 강서구 송정동 (2644010900)","1,318","1,318","10","23","248","311","97","185","233","130","68","13","0","846","846","6","10","179","225","64","125","143","68","24","2","0","472","472","4","13","69","86","33","60","90","62","44","11","0"
"부산광역시 강서구 화전동 (2644011000)","3,558","3,558","188","114","396","764","661","634","539","210","42","10","0","2,224","2,224","97","62","271","501","453","401","308","113","15","3","0","1,334","1,334","91","52","125","263","208","233","231","97","27","7","0"
"부산광역시 강서구 녹산동 (2644011100)","1,084","1,084","23","38","43","109","102","160","281","207","103","17","1","559","559","14","18","30","66","63","98","138","101","29","2","0","525","525","9","20","13","43","39","62","143","106","74","15","1"
"부산광역시 강서구 생곡동 (2644011200)","243","243","8","4","13","19","25","39","74","39","18","4","0","130","130","2","3","8","15","16","22","36","24","2","2","0","113","113","6","1","5","4","9","17","38","15","16","2","0"
"부산광역시 강서구 구랑동 (2644011300)","41","41","1","0","4","7","3","7","14","5","0","0","0","33","33","1","0","3","7","1","6","10","5","0","0","0","8","8","0","0","1","0","2","1","4","0","0","0","0"
"부산광역시 강서구 지사동 (2644011400)","9,706","9,706","1,002","1,359","506","1,446","2,447","1,211","935","583","197","20","0","5,076","5,076","535","724","248","741","1,354","712","433","244","78","7","0","4,630","4,630","467","635","258","705","1,093","499","502","339","119","13","0"
"부산광역시 강서구 미음동 (2644011500)","67","67","0","2","3","15","11","14","19","2","0","1","0","51","51","0","1","2","13","10","10","13","1","0","1","0","16","16","0","1","1","2","1","4","6","1","0","0","0"
"부산광역시 강서구 범방동 (2644011600)","991","991","12","26","86","144","143","196","233","103","39","9","0","678","678","7","14","67","113","113","151","147","54","9","3","0","313","313","5","12","19","31","30","45","86","49","30","6","0"
"부산광역시 강서구 신호동 (2644011700)","14,969","14,969","932","1,837","1,250","1,844","3,021","2,402","2,218","1,136","289","38","2","7,953","7,953","475","989","733","1,085","1,673","1,282","1,020","571","118","7","0","7,016","7,016","457","848","517","759","1,348","1,120","1,198","565","171","31","2"
"부산광역시 강서구 동선동 (2644011800)","1,003","1,003","30","51","62","83","97","195","275","159","43","8","0","522","522","14","25","43","44","55","101","128","92","19","1","0","481","481","16","26","19","39","42","94","147","67","24","7","0"
"부산광역시 강서구 성북동 (2644011900)","1,040","1,040","25","37","68","138","124","157","279","145","56","10","1","569","569","12","20","44","85","84","85","145","69","24","0","1","471","471","13","17","24","53","40","72","134","76","32","10","0"
"부산광역시 강서구 눌차동 (2644012000)","715","715","12","9","36","43","74","139","202","138","52","10","0","383","383","5","4","16","25","52","85","107","65","23","1","0","332","332","7","5","20","18","22","54","95","73","29","9","0"
"부산광역시 강서구 천성동 (2644012100)","764","764","9","20","30","41","75","118","251","159","51","10","0","419","419","3","9","17","30","42","66","147","83","20","2","0","345","345","6","11","13","11","33","52","104","76","31","8","0"
"부산광역시 강서구 대항동 (2644012200)","503","503","9","7","19","39","51","88","146","93","43","8","0","252","252","6","3","10","26","28","52","69","43","15","0","0","251","251","3","4","9","13","23","36","77","50","28","8","0"
"부산광역시 연제구  (2647000000)","211,464","211,464","12,084","17,229","21,029","28,495","30,803","33,476","33,434","23,847","9,739","1,301","27","100,606","100,606","6,153","8,726","10,251","14,218","15,204","16,035","15,230","10,509","3,930","346","4","110,858","110,858","5,931","8,503","10,778","14,277","15,599","17,441","18,204","13,338","5,809","955","23"
"부산광역시 연제구 거제동 (2647010100)","70,536","70,536","4,905","7,975","6,542","7,641","11,456","11,921","9,674","6,876","3,130","407","9","33,543","33,543","2,488","4,068","3,319","3,740","5,419","5,747","4,436","2,948","1,262","114","2","36,993","36,993","2,417","3,907","3,223","3,901","6,037","6,174","5,238","3,928","1,868","293","7"
"부산광역시 연제구 연산동 (2647010200)","140,928","140,928","7,179","9,254","14,487","20,854","19,347","21,555","23,760","16,971","6,609","894","18","67,063","67,063","3,665","4,658","6,932","10,478","9,785","10,288","10,794","7,561","2,668","232","2","73,865","73,865","3,514","4,596","7,555","10,376","9,562","11,267","12,966","9,410","3,941","662","16"
"부산광역시 수영구  (2650000000)","168,440","168,440","7,202","11,406","18,958","22,958","22,774","25,956","27,392","21,266","9,161","1,341","26","78,874","78,874","3,659","5,891","8,877","11,675","11,245","12,311","11,982","9,105","3,772","355","2","89,566","89,566","3,543","5,515","10,081","11,283","11,529","13,645","15,410","12,161","5,389","986","24"
"부산광역시 수영구 망미동 (2650010100)","34,288","34,288","1,322","2,498","2,770","3,638","4,479","5,339","6,425","5,273","2,189","347","8","16,328","16,328","679","1,349","1,396","1,884","2,280","2,582","2,795","2,329","938","96","0","17,960","17,960","643","1,149","1,374","1,754","2,199","2,757","3,630","2,944","1,251","251","8"
"부산광역시 수영구 수영동 (2650010200)","13,407","13,407","393","564","1,294","1,601","1,477","1,978","2,531","2,345","1,080","143","1","6,380","6,380","202","299","614","839","793","1,015","1,131","999","463","25","0","7,027","7,027","191","265","680","762","684","963","1,400","1,346","617","118","1"
"부산광역시 수영구 민락동 (2650010300)","26,954","26,954","1,612","1,814","2,518","3,779","3,948","4,389","4,438","3,139","1,156","158","3","12,930","12,930","815","936","1,333","1,925","1,971","2,076","1,992","1,374","468","40","0","14,024","14,024","797","878","1,185","1,854","1,977","2,313","2,446","1,765","688","118","3"
"부산광역시 수영구 광안동 (2650010400)","64,065","64,065","2,150","3,753","9,527","10,352","8,453","9,201","9,350","7,425","3,384","462","8","29,528","29,528","1,093","1,936","4,124","5,291","4,112","4,347","4,065","3,099","1,326","134","1","34,537","34,537","1,057","1,817","5,403","5,061","4,341","4,854","5,285","4,326","2,058","328","7"
